id,youtube_id,player,sex,club,view,slow,events,bbox,split,processed_video_path
10,gOBVh7fzyZo,STEVE STRICKER,m,driver,face-on,0,[395 475 488 492 499 504 507 509 524 563],[1.06250000e-01 6.94444444e-04 8.00781250e-01 1.00000000e+00],1,processed_videos/STEVE_STRICKER_gOBVh7fzyZo_a83afbf0-1e06-4abe-8219-03c8402e5f08.mp4
11,gOBVh7fzyZo,STEVE STRICKER,m,driver,face-on,1,[ 744  803  854  867  899  914  927  936  999 1050],[1.06250000e-01 6.94444444e-04 7.71093750e-01 1.00000000e+00],1,processed_videos/STEVE_STRICKER_gOBVh7fzyZo_c9b49e6d-569c-4383-aceb-416528074857.mp4
12,ja5jdy8_TKw,KYLE STANLEY,m,driver,down-the-line,0,[ 61  96 109 113 121 126 129 131 146 180],[0.05390625 0.00277778 0.58671875 0.99791667],2,processed_videos/KYLE_STANLEY_ja5jdy8_TKw_ccc66e42-519e-4077-adb7-18627ed18ee4.mp4
13,ja5jdy8_TKw,KYLE STANLEY,m,driver,other,1,[424 501 555 570 609 624 636 645 702 743],[3.82812500e-02 6.94444444e-04 6.15625000e-01 1.00000000e+00],2,processed_videos/KYLE_STANLEY_ja5jdy8_TKw_5a578d35-c725-4fd6-8b0b-ab36c84157ac.mp4
14,vN3Uc_EhnnY,GREG NORMAN,m,driver,face-on,0,[457 497 513 515 523 527 531 533 546 569],[5.23437500e-02 6.94444444e-04 8.50781250e-01 1.00000000e+00],2,processed_videos/GREG_NORMAN_vN3Uc_EhnnY_8ebfa420-e14c-4552-89a0-acea650da2a1.mp4
15,vN3Uc_EhnnY,GREG NORMAN,m,driver,face-on,1,[ 809  833  891  899  932  948  963  971 1020 1080],[6.01562500e-02 6.94444444e-04 8.00781250e-01 1.00000000e+00],2,processed_videos/GREG_NORMAN_vN3Uc_EhnnY_2f1b3d58-208f-4bf3-9e21-20f8f1d0e70c.mp4
16,y1b7l5xiMWM,VIJAY SINGH,m,driver,other,0,[ 91 162 174 179 188 192 196 198 217 251],[0.16640625 0.18055556 0.3484375  0.82013889],2,processed_videos/VIJAY_SINGH_y1b7l5xiMWM_a2931859-639b-403b-b62e-6da58a6a6606.mp4
17,y1b7l5xiMWM,VIJAY SINGH,m,driver,other,0,[ 839  914  925  929  938  943  947  949  967 1029],[0.159375   0.11666667 0.36171875 0.82222222],2,processed_videos/VIJAY_SINGH_y1b7l5xiMWM_2cc8f936-4b55-4da6-8bfb-c0ccd3d8956f.mp4
18,y1b7l5xiMWM,VIJAY SINGH,m,driver,other,1,[1083 1159 1195 1212 1247 1270 1284 1292 1363 1423],[0.14453125 0.11111111 0.36640625 0.86111111],2,processed_videos/VIJAY_SINGH_y1b7l5xiMWM_82a2efdb-5b81-442c-bd84-838d719d09b7.mp4
19,iW323nsTGtU,HYO JOO KIM,f,driver,face-on,0,[271 310 328 333 344 348 352 355 377 437],[7.34375000e-02 6.94444444e-04 8.32812500e-01 1.00000000e+00],3,processed_videos/HYO_JOO_KIM_iW323nsTGtU_3cd7044f-789b-4054-9b7f-a0fff5f4c388.mp4
20,iW323nsTGtU,HYO JOO KIM,f,driver,face-on,1,[578 592 655 671 714 735 750 759 833 898],[0.084375   0.00277778 0.82109375 0.99791667],3,processed_videos/HYO_JOO_KIM_iW323nsTGtU_a061a153-d2fa-4b22-b349-cd95df503303.mp4
21,xD6KDqPF9cc,TIGER WOODS,m,iron,face-on,0,[211 248 261 264 272 275 278 280 299 329],[9.06250000e-02 6.94444444e-04 7.04687500e-01 1.00000000e+00],2,processed_videos/TIGER_WOODS_xD6KDqPF9cc_967cb861-2b9b-40d6-b542-e46468f1948c.mp4
22,xD6KDqPF9cc,TIGER WOODS,m,iron,face-on,1,[738 755 802 814 846 860 871 880 943 988],[0.07890625 0.00416667 0.753125   0.99652778],2,processed_videos/TIGER_WOODS_xD6KDqPF9cc_227042a6-d529-40ed-9d38-8ebdccc3684e.mp4
23,a6oACBm2yb8,GRAEME MCDOWELL,m,iron,down-the-line,0,[777 813 824 829 835 838 841 844 855 887],[2.21093750e-01 6.94444444e-04 3.55468750e-01 1.00000000e+00],4,processed_videos/GRAEME_MCDOWELL_a6oACBm2yb8_eb3503e2-3947-4f0c-8d35-2a6fbc46f50b.mp4
24,a6oACBm2yb8,GRAEME MCDOWELL,m,iron,down-the-line,1,[1051 1122 1163 1182 1201 1220 1231 1242 1286 1410],[0.23515625 0.00416667 0.3625     0.99652778],4,processed_videos/GRAEME_MCDOWELL_a6oACBm2yb8_87ecf04c-fb6f-4051-b2d1-6579b83ca1da.mp4
25,pxO_eGmiDFk,PORNANONG PHATLUM,f,driver,face-on,0,[301 338 362 370 379 383 387 389 407 467],[5.62500000e-02 6.94444444e-04 7.78906250e-01 9.53472222e-01],3,processed_videos/PORNANONG_PHATLUM_pxO_eGmiDFk_ebbf9779-02bf-4145-83bb-c6e22c4f17d6.mp4
26,pxO_eGmiDFk,PORNANONG PHATLUM,f,driver,face-on,1,[ 742  776  861  894  928  944  958  968 1035 1049],[0.06953125 0.00277778 0.76875    0.99791667],3,processed_videos/PORNANONG_PHATLUM_pxO_eGmiDFk_321efe8f-2bcb-4cde-ac1a-fc3ba7233a2c.mp4
27,2Us2Zx_S6hI,ANGEL YIN,f,iron,face-on,0,[301 331 341 345 354 358 361 364 379 423],[1.71875000e-01 6.94444444e-04 6.53125000e-01 9.00694444e-01],3,processed_videos/ANGEL_YIN_2Us2Zx_S6hI_69527d7a-454a-4869-bb60-5dda7bd74c7a.mp4
28,2Us2Zx_S6hI,ANGEL YIN,f,iron,face-on,1,[483 555 589 603 636 657 669 680 732 763],[0.1671875  0.00138889 0.65859375 0.87083333],3,processed_videos/ANGEL_YIN_2Us2Zx_S6hI_45e39c3a-81b3-4167-b9eb-6973a9f527c3.mp4
29,B1uIW4LN16Q,BRANFORD MARSALIS,m,driver,face-on,0,[245 285 303 305 317 322 325 327 373 396],[0.08203125 0.03333333 0.69453125 0.96736111],1,processed_videos/BRANFORD_MARSALIS_B1uIW4LN16Q_2b0b8933-af79-47cb-a42b-ee3db48983db.mp4
30,B1uIW4LN16Q,BRANFORD MARSALIS,m,driver,face-on,1,[ 807  875  915  925  973  991 1002 1012 1168 1179],[0.0984375  0.03194444 0.68125    0.96875   ],1,processed_videos/BRANFORD_MARSALIS_B1uIW4LN16Q_09d5ce4f-cd90-421a-8987-9751d57f6d0a.mp4
31,tpv8QUM0G0E,PAULA CREAMER,f,driver,other,0,[151 172 188 193 201 204 207 210 226 264],[0.203125   0.06666667 0.39609375 0.77777778],3,processed_videos/PAULA_CREAMER_tpv8QUM0G0E_83f7a55c-e010-4aeb-80e8-cec950c4285a.mp4
32,tpv8QUM0G0E,PAULA CREAMER,f,driver,other,1,[474 507 562 578 609 621 634 645 707 724],[0.2125     0.05694444 0.39453125 0.7875    ],3,processed_videos/PAULA_CREAMER_tpv8QUM0G0E_150997aa-7ceb-4f6e-86e7-190f591a9a6f.mp4
33,HLB6FcRVqAs,MINJEE LEE,f,driver,down-the-line,0,[181 226 240 249 259 264 267 270 286 316],[3.12500000e-02 6.94444444e-04 6.10156250e-01 9.56250000e-01],1,processed_videos/MINJEE_LEE_HLB6FcRVqAs_09dd8d55-57ea-43b0-809e-c4177dfcea76.mp4
34,HLB6FcRVqAs,MINJEE LEE,f,driver,other,1,[461 481 535 573 612 630 644 653 724 728],[3.90625000e-04 6.94444444e-04 6.39453125e-01 9.99305556e-01],1,processed_videos/MINJEE_LEE_HLB6FcRVqAs_e432aaa0-7f4b-4fc9-9a26-1a5c43045fef.mp4
35,agHnyx2NFfk,DANIEL SUMMERHAYS,m,driver,other,0,[241 277 289 294 298 302 305 307 322 348],[8.43750000e-02 6.94444444e-04 4.64843750e-01 9.42361111e-01],1,processed_videos/DANIEL_SUMMERHAYS_agHnyx2NFfk_0ddda21d-8d33-4856-8520-2829d0d80c40.mp4
36,agHnyx2NFfk,DANIEL SUMMERHAYS,m,driver,other,1,[478 505 540 559 582 593 606 614 670 704],[4.21875000e-02 6.94444444e-04 5.09375000e-01 9.47916667e-01],1,processed_videos/DANIEL_SUMMERHAYS_agHnyx2NFfk_5c9b72f3-543f-471d-91cd-76b02639312b.mp4
37,4yauOQPgt1Y,HEE YOUNG PARK,f,driver,down-the-line,0,[481 513 526 533 542 547 551 553 572 610],[0.14140625 0.03194444 0.40703125 0.88611111],1,processed_videos/HEE_YOUNG_PARK_4yauOQPgt1Y_48915917-4550-452c-96e6-929851eb80a1.mp4
38,4yauOQPgt1Y,HEE YOUNG PARK,f,driver,down-the-line,1,[ 934 1002 1050 1078 1113 1132 1146 1157 1231 1282],[1.23437500e-01 6.94444444e-04 4.31250000e-01 9.20138889e-01],1,processed_videos/HEE_YOUNG_PARK_4yauOQPgt1Y_e1ad2932-09ba-424b-a979-0f78749b4c2e.mp4
39,lI-y0pvpYDM,JASON DUFNER,m,fairway,down-the-line,0,[122 148 161 166 169 172 175 178 200 260],[1.16406250e-01 6.94444444e-04 4.57031250e-01 9.29861111e-01],3,processed_videos/JASON_DUFNER_lI-y0pvpYDM_54ef9bf8-6fc1-4ed0-96d2-5a685bf7530f.mp4
40,lI-y0pvpYDM,JASON DUFNER,m,fairway,down-the-line,1,[320 357 389 407 422 433 447 455 528 565],[8.51562500e-02 6.94444444e-04 4.68750000e-01 9.14583333e-01],3,processed_videos/JASON_DUFNER_lI-y0pvpYDM_d8c26864-2c25-4204-a5d3-0179926066e5.mp4
41,j6h-3Ez0714,COLIN MONTGOMERIE,m,driver,face-on,0,[277 298 311 315 325 328 332 334 358 399],[8.04687500e-02 6.94444444e-04 7.97656250e-01 9.79861111e-01],2,processed_videos/COLIN_MONTGOMERIE_j6h-3Ez0714_29980ef6-88c4-47f0-81c6-253027172595.mp4
42,j6h-3Ez0714,COLIN MONTGOMERIE,m,fairway,face-on,0,[832 886 897 902 911 915 919 921 945 981],[0.090625   0.00277778 0.82734375 0.99791667],2,processed_videos/COLIN_MONTGOMERIE_j6h-3Ez0714_1994b683-8fb4-4b1b-bfac-50f006b169a8.mp4
43,j6h-3Ez0714,COLIN MONTGOMERIE,m,driver,down-the-line,0,[1468 1602 1612 1617 1625 1630 1633 1636 1658 1696],[0.11171875 0.00138889 0.5578125  0.99930556],2,processed_videos/COLIN_MONTGOMERIE_j6h-3Ez0714_7309459d-e324-4f83-b137-1795aa2c40bc.mp4
44,j6h-3Ez0714,COLIN MONTGOMERIE,m,driver,face-on,1,[2168 2204 2246 2259 2295 2313 2327 2337 2405 2417],[7.42187500e-02 6.94444444e-04 8.06250000e-01 1.00000000e+00],2,processed_videos/COLIN_MONTGOMERIE_j6h-3Ez0714_329acf59-8337-4620-80d4-d856125ad045.mp4
45,BlDsHA-HNlI,KEVIN NA,m,driver,down-the-line,0,[331 362 371 377 391 396 398 401 415 475],[0.1609375  0.03194444 0.428125   0.93194444],2,processed_videos/KEVIN_NA_BlDsHA-HNlI_06f85d69-d8ec-4d92-8ad5-97359d13722e.mp4
46,BlDsHA-HNlI,KEVIN NA,m,driver,down-the-line,1,[632 639 672 693 750 771 781 791 848 868],[0.15703125 0.00555556 0.4203125  0.93888889],2,processed_videos/KEVIN_NA_BlDsHA-HNlI_339147d4-99aa-478c-894d-df7c1cb63460.mp4
47,4HzLO88ryCU,TIGER WOODS,m,iron,down-the-line,0,[426 458 470 473 481 485 488 490 505 529],[2.21875000e-01 6.94444444e-04 3.38281250e-01 9.75694444e-01],3,processed_videos/TIGER_WOODS_4HzLO88ryCU_a941d487-8693-40b6-8835-75b41c87b662.mp4
48,4HzLO88ryCU,TIGER WOODS,m,iron,down-the-line,1,[690 734 775 788 814 835 846 855 899 971],[0.23515625 0.00555556 0.3421875  0.99513889],3,processed_videos/TIGER_WOODS_4HzLO88ryCU_6df7f5cc-68ee-40ca-a984-2c3e348767d8.mp4
49,TPZq62zK2Lc,JIM THORPE,m,driver,other,0,[227 261 272 278 284 288 291 294 316 343],[1.84375000e-01 6.94444444e-04 4.54687500e-01 7.11805556e-01],2,processed_videos/JIM_THORPE_TPZq62zK2Lc_1c18bcdf-a700-4f0f-a470-ea97cda70661.mp4
50,TPZq62zK2Lc,JIM THORPE,m,driver,down-the-line,1,[513 532 573 599 620 638 649 659 719 755],[0.21640625 0.00069444 0.44296875 0.65625   ],2,processed_videos/JIM_THORPE_TPZq62zK2Lc_9348da5c-6cba-4402-bc87-a75f90cd5de4.mp4
51,kSCTyo10cnU,BROOKE HENDERSON,f,driver,face-on,0,[301 611 632 637 646 650 654 656 671 712],[0.05078125 0.00138889 0.8        0.99722222],2,processed_videos/BROOKE_HENDERSON_kSCTyo10cnU_65e555b1-f75b-4037-8ce2-cb90597b4b97.mp4
52,kSCTyo10cnU,BROOKE HENDERSON,f,driver,face-on,1,[1012 1080 1166 1183 1219 1237 1252 1261 1317 1335],[5.15625000e-02 6.94444444e-04 8.18750000e-01 1.00000000e+00],2,processed_videos/BROOKE_HENDERSON_kSCTyo10cnU_e5338b94-dd8e-40e4-a1de-07313522cd0f.mp4
53,3DNKkJr0L2Q,GENE SAUERS,m,driver,other,0,[331 368 384 388 398 402 405 408 424 456],[0.140625   0.05138889 0.48046875 0.93194444],1,processed_videos/GENE_SAUERS_3DNKkJr0L2Q_27dc5ce3-4235-4c4f-8955-e3f9ae90a84c.mp4
54,3DNKkJr0L2Q,GENE SAUERS,m,driver,other,1,[552 566 627 641 680 698 711 719 780 819],[0.14609375 0.07083333 0.44609375 0.91944444],1,processed_videos/GENE_SAUERS_3DNKkJr0L2Q_b13f2b5e-c9e5-40d8-8354-e2c7e8c8b005.mp4
55,JiAUPOcDAJQ,BEATRIZ RECARI,f,driver,down-the-line,0,[601 643 659 664 672 675 679 682 704 764],[3.90625000e-04 6.94444444e-04 6.28515625e-01 9.97916667e-01],1,processed_videos/BEATRIZ_RECARI_JiAUPOcDAJQ_b244fedf-7a90-49db-8f7f-92bc94b6064b.mp4
56,JiAUPOcDAJQ,BEATRIZ RECARI,f,driver,down-the-line,1,[1030 1119 1182 1204 1236 1249 1263 1276 1355 1456],[3.90625000e-04 6.94444444e-04 6.16015625e-01 9.96527778e-01],1,processed_videos/BEATRIZ_RECARI_JiAUPOcDAJQ_4ea180bb-f33d-43e1-9caf-81c2fb5e56cc.mp4
57,ra887418NaA,JUSTIN LEONARD,m,driver,other,0,[499 567 582 588 593 598 601 604 617 642],[0.1609375  0.31388889 0.34765625 0.65277778],1,processed_videos/JUSTIN_LEONARD_ra887418NaA_e81ccc81-a38f-483e-85cb-2aa73a15ef13.mp4
58,ra887418NaA,JUSTIN LEONARD,m,driver,other,1,[ 951  996 1041 1064 1089 1106 1119 1127 1182 1203],[0.1578125  0.32083333 0.34765625 0.64305556],1,processed_videos/JUSTIN_LEONARD_ra887418NaA_b090d53c-bf84-4c36-a780-f1de9132065d.mp4
59,KR9Umr1GM-U,RORY MCILROY,m,iron,other,0,[366 388 399 403 410 414 417 419 435 469],[2.24218750e-01 6.94444444e-04 5.83593750e-01 8.67361111e-01],3,processed_videos/RORY_MCILROY_KR9Umr1GM-U_47a8c58e-5bb7-496f-b6f8-ec58ee24e4aa.mp4
60,TH7DFdUqV0U,HA NA JANG,f,driver,face-on,0,[241 291 306 312 321 327 331 333 347 375],[7.18750000e-02 6.94444444e-04 8.63281250e-01 9.74305556e-01],4,processed_videos/HA_NA_JANG_TH7DFdUqV0U_7e8e703c-4a90-4e4d-9983-f5b4f3740b13.mp4
61,TH7DFdUqV0U,HA NA JANG,f,driver,face-on,1,[765 811 843 857 878 890 896 901 928 936],[6.09375000e-02 6.94444444e-04 8.89062500e-01 9.88194444e-01],4,processed_videos/HA_NA_JANG_TH7DFdUqV0U_b774f029-f841-4255-a319-1c82cb640049.mp4
62,YqsCyYTKpZg,JENNY SHIN,f,driver,down-the-line,0,[301 314 338 347 355 360 364 366 382 415],[5.31250000e-02 6.94444444e-04 6.09375000e-01 1.00000000e+00],3,processed_videos/JENNY_SHIN_YqsCyYTKpZg_009f98dd-9b8e-4bad-9cda-342a67c427f6.mp4
63,YqsCyYTKpZg,JENNY SHIN,f,driver,down-the-line,1,[540 617 713 744 778 798 814 825 879 909],[8.51562500e-02 6.94444444e-04 5.97656250e-01 9.95138889e-01],3,processed_videos/JENNY_SHIN_YqsCyYTKpZg_45ece7be-9f55-418b-8ac0-43a6d7ff76eb.mp4
64,nlK1PSI-id0,NELLY KORDA,f,fairway,down-the-line,0,[511 547 563 569 579 583 586 589 606 647],[1.42968750e-01 6.94444444e-04 4.25000000e-01 9.86805556e-01],1,processed_videos/NELLY_KORDA_nlK1PSI-id0_2bc15633-dd92-4457-b79a-d04f357517ea.mp4
65,nlK1PSI-id0,NELLY KORDA,f,fairway,down-the-line,1,[1026 1052 1108 1133 1174 1189 1202 1213 1274 1327],[0.13984375 0.00138889 0.4515625  0.99930556],1,processed_videos/NELLY_KORDA_nlK1PSI-id0_1ac605a9-3d6b-4969-9b05-cd5def4079ad.mp4
66,8n9BBNEj3yk,LYDIA KO,f,iron,face-on,0,[751 813 829 834 843 847 850 853 875 919],[1.57031250e-01 6.94444444e-04 7.32812500e-01 1.00000000e+00],2,processed_videos/LYDIA_KO_8n9BBNEj3yk_72959b4e-fa30-47dd-8f23-36570e09842c.mp4
67,8n9BBNEj3yk,LYDIA KO,f,iron,face-on,1,[1281 1283 1348 1364 1401 1417 1430 1440 1522 1539],[1.49218750e-01 6.94444444e-04 7.63281250e-01 1.00000000e+00],2,processed_videos/LYDIA_KO_8n9BBNEj3yk_a3e47339-3f4a-437d-b7f0-29e9ef0736b4.mp4
68,Ux61clnnHrQ,DAVIS LOVE,m,driver,other,0,[391 395 405 409 417 420 424 426 440 460],[0.1828125  0.12361111 0.35546875 0.82777778],4,processed_videos/DAVIS_LOVE_Ux61clnnHrQ_f7c7cfda-362f-49b1-a547-f92c01bf834a.mp4
69,Ux61clnnHrQ,DAVIS LOVE,m,driver,other,1,[670 776 819 830 860 877 890 899 943 952],[0.196875   0.14305556 0.3328125  0.8       ],4,processed_videos/DAVIS_LOVE_Ux61clnnHrQ_6d622cc2-5027-4b09-84dd-a6872f8a1a72.mp4
70,cRnmfMLvyNE,PAULA CREAMER,f,driver,down-the-line,0,[541 572 590 594 601 604 607 610 626 650],[4.76562500e-02 6.94444444e-04 5.69531250e-01 1.00000000e+00],4,processed_videos/PAULA_CREAMER_cRnmfMLvyNE_841dd19b-81a0-4aef-abf3-61ff37a676c5.mp4
71,cRnmfMLvyNE,PAULA CREAMER,f,driver,down-the-line,1,[ 893  923  991 1009 1036 1047 1061 1073 1136 1210],[4.29687500e-02 6.94444444e-04 6.17187500e-01 1.00000000e+00],4,processed_videos/PAULA_CREAMER_cRnmfMLvyNE_b776eb35-fd8e-44d9-ad1f-858b13efa827.mp4
72,FPvudrvNw6A,JESSICA KORDA,f,driver,face-on,0,[422 445 468 475 485 488 492 494 512 547],[3.90625000e-04 6.94444444e-04 4.97265625e-01 1.00000000e+00],2,processed_videos/JESSICA_KORDA_FPvudrvNw6A_e5140849-836e-425b-8d78-ce1c0636ea47.mp4
73,FPvudrvNw6A,JESSICA KORDA,f,driver,down-the-line,0,[421 443 468 475 485 488 492 494 513 549],[0.5        0.00277778 0.50039062 0.99791667],2,processed_videos/JESSICA_KORDA_FPvudrvNw6A_5dd39363-59dd-40a9-bebb-a11c72f77056.mp4
74,UZ9f9sukG3A,INBEE PARK,f,driver,face-on,0,[541 586 612 622 636 641 645 647 679 739],[0.084375   0.00138889 0.82890625 0.99930556],4,processed_videos/INBEE_PARK_UZ9f9sukG3A_52193cdd-62bb-49b5-9613-c661d91c45ff.mp4
75,UZ9f9sukG3A,INBEE PARK,f,driver,face-on,1,[1048 1127 1233 1274 1326 1348 1362 1370 1477 1527],[0.07890625 0.00138889 0.8203125  0.99930556],4,processed_videos/INBEE_PARK_UZ9f9sukG3A_c49d8d39-c586-42e8-9846-47627b331c27.mp4
76,ySQoKgrUsR4,CANDIE KUNG,f,driver,down-the-line,0,[301 347 358 362 371 374 378 381 406 445],[0.071875   0.00277778 0.55546875 0.99791667],4,processed_videos/CANDIE_KUNG_ySQoKgrUsR4_25c1ba91-9583-4c82-be4c-32da4b26e564.mp4
77,ySQoKgrUsR4,CANDIE KUNG,f,driver,down-the-line,1,[595 704 743 759 793 809 824 836 894 936],[0.0640625  0.00416667 0.54921875 0.99652778],4,processed_videos/CANDIE_KUNG_ySQoKgrUsR4_c2872bd2-a5c0-420f-b924-06caca230b26.mp4
78,rX2f5waPikE,SANDRA GAL,f,driver,other,0,[601 665 678 686 697 701 705 707 722 767],[0.3359375  0.09861111 0.3875     0.90208333],4,processed_videos/SANDRA_GAL_rX2f5waPikE_3b75caec-9c05-40b8-b5c6-84a1abcd28d0.mp4
79,rX2f5waPikE,SANDRA GAL,f,driver,other,1,[1307 1337 1393 1419 1460 1479 1493 1503 1559 1601],[0.340625   0.14583333 0.3734375  0.85486111],4,processed_videos/SANDRA_GAL_rX2f5waPikE_7963aa3a-d32a-4b29-bb2d-424bed96fb6c.mp4
80,3eQd1zxKihQ,LOUIS OOSTHUIZEN,m,fairway,down-the-line,0,[121 357 367 373 381 386 389 391 406 444],[0.13046875 0.00416667 0.39140625 0.99652778],3,processed_videos/LOUIS_OOSTHUIZEN_3eQd1zxKihQ_a938901a-6e16-44f6-bbaf-aac41e93c727.mp4
81,3eQd1zxKihQ,LOUIS OOSTHUIZEN,m,fairway,down-the-line,1,[696 722 756 777 813 831 841 850 897 949],[1.25781250e-01 6.94444444e-04 3.92968750e-01 1.00000000e+00],3,processed_videos/LOUIS_OOSTHUIZEN_3eQd1zxKihQ_2a6971f3-99f3-446b-b237-74a92c356f39.mp4
82,aqlJ4qQPCyk,LYDIA KO,f,fairway,down-the-line,0,[811 844 862 868 878 882 885 888 909 960],[1.72656250e-01 6.94444444e-04 4.37500000e-01 9.95138889e-01],1,processed_videos/LYDIA_KO_aqlJ4qQPCyk_d9d5ac88-4d27-44de-9862-7a0eea5a028c.mp4
83,aqlJ4qQPCyk,LYDIA KO,f,fairway,down-the-line,1,[1425 1470 1539 1564 1604 1622 1636 1645 1712 1738],[1.58593750e-01 6.94444444e-04 4.47656250e-01 9.92361111e-01],1,processed_videos/LYDIA_KO_aqlJ4qQPCyk_0acb0ec8-4c33-4e29-a5fe-95ccbb274ac7.mp4
84,WeeSVhfc-iw,ANGEL YIN,f,iron,face-on,0,[211 257 270 274 282 286 290 293 305 395],[0.1640625  0.00138889 0.6953125  0.93472222],1,processed_videos/ANGEL_YIN_WeeSVhfc-iw_098f11c9-7f0c-4e98-a4f5-03defc6f31ad.mp4
85,WeeSVhfc-iw,ANGEL YIN,f,iron,face-on,1,[576 601 637 649 682 700 713 727 769 804],[1.62500000e-01 6.94444444e-04 6.79687500e-01 9.28472222e-01],1,processed_videos/ANGEL_YIN_WeeSVhfc-iw_5f2b0111-0c30-44a1-abcc-aa9be2cbeb62.mp4
86,VAF1DvX9p28,AZAHARA MUNOZ,f,driver,other,0,[421 457 472 476 484 489 493 495 514 547],[3.90625000e-04 6.94444444e-04 6.70703125e-01 9.97916667e-01],4,processed_videos/AZAHARA_MUNOZ_VAF1DvX9p28_6c691b62-30cc-44c5-b38e-028e9df062af.mp4
87,VAF1DvX9p28,AZAHARA MUNOZ,f,driver,other,1,[ 744  805  856  869  903  922  938  948 1022 1034],[3.90625000e-04 6.94444444e-04 6.62109375e-01 9.99305556e-01],4,processed_videos/AZAHARA_MUNOZ_VAF1DvX9p28_58c39d18-9e2f-4ac2-b690-db0d0c158546.mp4
88,U1ciSCJHfPY,PAULA CREAMER,f,driver,down-the-line,0,[ 61 128 142 147 153 156 160 162 180 222],[1.39062500e-01 6.94444444e-04 5.41406250e-01 9.21527778e-01],4,processed_videos/PAULA_CREAMER_U1ciSCJHfPY_1ba730be-ee9d-4f3d-8911-8fc1a3fa8159.mp4
89,U1ciSCJHfPY,PAULA CREAMER,f,driver,down-the-line,1,[605 649 703 721 746 758 773 783 845 876],[1.34375000e-01 6.94444444e-04 5.46093750e-01 9.13194444e-01],4,processed_videos/PAULA_CREAMER_U1ciSCJHfPY_53c49d62-503e-4acf-8b03-315571610230.mp4
90,aTYgjFyuH_w,LINDSEY WRIGHT,f,driver,other,0,[361 367 384 390 398 404 408 410 425 460],[0.171875   0.1375     0.41953125 0.86319444],3,processed_videos/LINDSEY_WRIGHT_aTYgjFyuH_w_edcc1648-5f2f-4032-bf56-5e8024ed6a69.mp4
